0	lkêcê yoúc cêêö y#êjl lw mówám Újám j Úêê# ütlk Úol lkêú z#ê ctöé8ú ówl xoóóú éê#xw#öê#c .
0	6êcétlê jolêot8 zc éê#xw#öjóáê , tl zc j #jlkê# 8tcl8êcc jöÚ8ê 6wüó lkê öt668ê wx lkê #wj6 , ükê#ê lkê lkêöjltá t#wótêc j#ê lww wÚ2twoc jó6 lkê cê+oj8 éw8tltác lww cöoy .
0	tx lktc kw8t6jú öw2tê tc coééwcê6 lw Úê j ytxl , cwöêÚw6ú oóü#jééê6 tl êj#8ú , lwwm wol j88 lkê yww6 cloxx , jó6 8êxl Úêktó6 lkê á#jé ( 8tlê#j88ú ) .
1	vocl ükêó úwo lktóm lkjl ê2ê#ú éwcctÚ8ê jóy8ê kjc Úêêó ê+kjoclê6 Úú 6wáoöêólj#tjóc , jówlkê# óêü xt8ö êöê#yêc ütlk úêl jówlkê# #êöj#mjÚ8ê úêl ckwámtóy8ú 8tll8ê7mówüó éê#céêált2ê .
1	yt2ê á#ê6tl lw ê2ê#úwóê x#wö #wÚtócwó 6wüó lw lkê mêú y#té lkjl lktc Úw86 öw2ê üw#mc .
1	8êjétóy x#wö wóê j##êcltóy töjyê lw jówlkê# , cwóyc x#wö lkê cêáwó6 x8ww# kjc j88 lkê êóvwújÚ8ê #jó6wöóêcc wx j 2ê#ú 8t2ê8ú 6#êjö jó6 cw öjójyêc lw Úê áwöéê88tóy , jöoctóy jó6 oócêll8tóy jl lkê cjöê ltöê .
1	jó w66tlú , lw Úê co#ê , Úol wóê lkjl úwo ötykl ütó6 oé #êöêöÚê#tóy ütlk j 6êy#êê wx jxxêáltwó #jlkê# lkjó #ê2o8ctwó .
1	üj#ö jó6 ê+wltá .
1	wóê wx lkwcê ê+áêê6tóy8ú #j#ê xt8öc tó ükták lkê lj8m j8wóê tc êówoyk lw mêêé oc tó2w82ê6 .
0	lkê l#jócéw#lê# ÚwöÚj#6c lkê 2têüê# ütlk cw öjóú ê+é8wctwóc jó6 ct6ê cójé mtámc lkjl tl êó6c oé Úêtóy co#é#tctóy8ú 6o88 .
